day_of_week,weather_main,temp,rain_1h,holiday,destination_type,preferred_arrival_hour,traffic_level,best_departure_hour
Wednesday,Rain,290.55,0.96,No,market,10,Medium,8
Tuesday,Clear,310.81,0.0,No,office,9,Medium,7
Sunday,Haze,287.2,0.0,No,market,17,Medium,15
Friday,Haze,286.01,0.0,No,mall,18,Medium,17
Friday,Clouds,302.56,0.19,No,market,12,Low,12
Friday,Rain,301.14,2.15,No,office,8,High,5
Thursday,Clouds,295.78,0.06,No,market,19,Medium,17
Wednesday,Drizzle,291.56,0.68,No,mall,17,Medium,15
Friday,Haze,298.32,0.0,No,office,10,Medium,8
Monday,Haze,300.01,0.0,No,market,18,Medium,16
Wednesday,Clear,306.55,0.0,No,mall,12,Low,12
Friday,Clear,306.44,0.0,No,residential,9,Low,9
Thursday,Clouds,300.95,0.13,No,office,8,Medium,5
Wednesday,Clouds,290.62,0.0,No,mall,19,Medium,18
Friday,Rain,288.79,1.8,No,market,19,Medium,16
Monday,Clouds,306.16,0.15,No,market,20,Medium,18
Friday,Clouds,306.09,0.14,No,market,10,Low,10
Wednesday,Clouds,306.9,0.13,No,mall,21,Medium,20
Friday,Fog,287.6,0.0,No,mall,17,Medium,15
Saturday,Clear,300.05,0.0,No,residential,20,Low,20
Wednesday,Clear,312.33,0.0,No,office,9,Medium,7
Monday,Clouds,300.53,0.06,No,residential,18,Low,18
Thursday,Clouds,304.18,0.13,No,station,8,Medium,6
Thursday,Clouds,298.53,0.13,No,residential,20,Low,20
Friday,Haze,286.88,0.0,No,station,8,Medium,6
Tuesday,Fog,287.93,0.0,No,market,19,Medium,16
Monday,Rain,301.95,1.26,No,office,9,High,6
Friday,Fog,290.29,0.0,No,mall,21,Medium,19
Monday,Clouds,306.91,0.1,No,mall,19,Medium,18
Wednesday,Clear,293.51,0.0,No,market,10,Low,9
Monday,Haze,285.5,0.0,No,office,9,Medium,7
Wednesday,Clouds,303.44,0.05,Yes,office,9,Medium,6
Friday,Clear,306.6,0.0,No,office,10,Medium,8
Monday,Rain,289.02,1.43,No,market,18,Medium,15
Wednesday,Thunderstorm,300.44,1.97,No,residential,18,Medium,16
Friday,Clouds,297.73,0.03,No,residential,7,Low,7
Friday,Rain,298.94,1.78,No,station,7,High,4
Tuesday,Rain,290.27,1.34,No,office,9,High,6
Wednesday,Clear,307.25,0.0,No,market,11,Low,10
Wednesday,Drizzle,290.02,1.16,No,market,10,Medium,8
Friday,Fog,290.26,0.0,No,station,19,Medium,16
Saturday,Clouds,290.43,0.03,No,residential,9,Low,9
Sunday,Rain,293.0,1.51,No,residential,10,Medium,8
Monday,Clouds,299.92,0.02,No,mall,20,Medium,19
Sunday,Clear,305.53,0.0,No,market,11,Low,11
Saturday,Clouds,303.43,0.11,No,office,10,Low,10
Saturday,Clear,312.53,0.0,No,market,20,Medium,17
Sunday,Clouds,296.33,0.04,No,residential,17,Low,17
Tuesday,Clouds,303.55,0.14,No,station,6,Low,5
Monday,Clear,312.33,0.0,No,mall,21,Medium,20
Monday,Haze,288.46,0.0,No,residential,8,Medium,6
Thursday,Fog,282.91,0.0,No,market,18,Medium,15
Tuesday,Clear,294.49,0.0,No,residential,9,Low,9
Tuesday,Rain,286.89,1.25,No,mall,11,Medium,8
Monday,Rain,291.71,0.99,No,office,9,Medium,6
Friday,Haze,292.73,0.0,No,office,9,Medium,7
Friday,Clear,301.42,0.0,No,mall,19,Medium,18
Thursday,Clouds,290.71,0.11,No,office,8,Medium,5
Thursday,Clouds,303.84,0.04,No,residential,8,Low,8
Wednesday,Rain,289.36,1.23,No,office,9,High,6
Wednesday,Haze,285.33,0.0,No,mall,17,Medium,16
Friday,Haze,288.67,0.0,No,residential,20,Medium,19
Friday,Clear,294.38,0.0,No,residential,7,Low,7
Tuesday,Clouds,297.9,0.0,No,station,7,Medium,5
Sunday,Haze,295.2,0.0,No,station,6,Low,6
Friday,Clouds,290.06,0.03,No,mall,13,Low,13
Thursday,Rain,293.74,0.74,No,mall,19,Medium,17
Tuesday,Clear,303.07,0.0,No,station,18,Medium,16
Monday,Rain,290.55,0.64,No,mall,17,Medium,15
Wednesday,Clear,310.52,0.0,No,office,9,Medium,7
Monday,Clear,303.86,0.0,No,market,10,Low,10
Wednesday,Haze,294.06,0.0,Yes,station,18,High,15
Wednesday,Clouds,298.38,0.1,No,market,18,Medium,16
Tuesday,Rain,300.19,1.02,No,mall,21,Medium,18
Monday,Clear,309.18,0.0,No,office,9,Medium,7
Tuesday,Clear,304.15,0.0,No,mall,18,Medium,16
Wednesday,Rain,285.16,0.98,No,market,17,Medium,14
Friday,Rain,295.86,1.3,No,residential,10,Medium,8
Tuesday,Fog,289.12,0.0,No,office,9,Medium,6
Saturday,Clear,293.01,0.0,No,office,11,Low,11
Thursday,Fog,282.04,0.0,No,market,17,Medium,14
Sunday,Rain,287.76,0.59,No,mall,19,Medium,16
Saturday,Rain,292.03,0.7,Yes,market,12,Medium,9
Sunday,Clear,301.99,0.0,No,residential,19,Low,19
Wednesday,Clear,300.75,0.0,No,mall,21,Medium,20
Thursday,Fog,287.12,0.0,No,office,8,Medium,5
Sunday,Fog,279.16,0.0,No,mall,19,Medium,16
Sunday,Rain,286.15,1.38,No,station,19,Medium,16
Monday,Rain,300.14,1.25,No,market,17,Medium,14
Friday,Rain,291.91,1.14,No,office,10,High,7
Saturday,Clear,308.71,0.0,Yes,market,17,Medium,14
Friday,Clear,304.94,0.0,No,station,6,Low,5
Wednesday,Rain,289.89,0.78,No,station,19,Medium,16
Monday,Clouds,293.91,0.06,Yes,office,10,Medium,7
Saturday,Clouds,306.56,0.14,No,station,17,Low,17
Wednesday,Clear,301.75,0.0,No,mall,13,Low,13
Friday,Clear,299.87,0.0,No,residential,8,Low,8
Monday,Clear,310.72,0.0,No,mall,18,Medium,17
Thursday,Clear,295.33,0.0,No,market,12,Low,12
Tuesday,Rain,294.0,0.51,No,mall,18,Medium,15
Wednesday,Clouds,303.61,0.1,No,station,7,Medium,4
Thursday,Clouds,290.47,0.04,No,residential,20,Low,20
Tuesday,Rain,285.58,2.03,No,office,8,High,5
Thursday,Drizzle,297.64,0.86,No,station,7,Medium,4
Thursday,Rain,293.83,0.85,No,market,11,Low,10
Tuesday,Clouds,303.55,0.03,No,office,9,Medium,6
Sunday,Clear,301.54,0.0,No,residential,17,Low,17
Thursday,Clear,299.48,0.0,No,mall,21,Medium,20
Thursday,Clear,293.42,0.0,No,office,8,Medium,6
Monday,Clear,311.94,0.0,No,station,8,Medium,6
Thursday,Clear,310.76,0.0,No,residential,8,Low,8
Saturday,Clear,294.95,0.0,No,office,12,Low,11
Tuesday,Clear,307.43,0.0,Yes,office,8,Medium,6
Tuesday,Clear,304.46,0.0,No,residential,10,Low,9
Monday,Clear,303.7,0.0,No,office,10,Medium,7
Monday,Clear,312.56,0.0,No,office,9,Medium,7
Wednesday,Clouds,301.96,0.12,No,office,10,Medium,8
Wednesday,Clouds,300.36,0.17,No,market,18,Medium,16
Monday,Clouds,290.79,0.17,No,office,8,Medium,6
Monday,Drizzle,292.75,0.2,No,office,8,Medium,5
Friday,Haze,286.65,0.0,No,residential,9,Medium,8
Sunday,Clouds,293.59,0.12,No,market,10,Low,10
Thursday,Clear,311.73,0.0,No,station,17,Medium,15
Sunday,Clear,309.21,0.0,No,station,7,Low,6
Monday,Clear,311.51,0.0,No,office,10,Medium,8
Tuesday,Fog,282.3,0.0,No,residential,20,Medium,17
Friday,Rain,289.38,0.83,No,mall,13,Low,12
Saturday,Clouds,292.8,0.19,No,residential,20,Low,19
Monday,Rain,288.79,1.38,No,station,19,High,16
Saturday,Fog,282.17,0.0,No,residential,7,Medium,5
Friday,Clouds,297.12,0.01,Yes,office,9,Medium,7
Thursday,Clouds,296.02,0.05,No,office,8,Medium,6
Saturday,Clear,298.23,0.0,No,mall,13,Medium,12
Tuesday,Clear,308.21,0.0,No,market,11,Low,11
Sunday,Rain,296.54,0.75,No,residential,7,Medium,5
Friday,Clouds,305.49,0.05,No,office,8,Medium,6
Wednesday,Rain,295.78,1.39,No,station,6,Low,4
Tuesday,Clouds,295.2,0.03,No,mall,18,Medium,17
Saturday,Fog,287.63,0.0,No,station,19,Medium,16
Friday,Thunderstorm,291.24,2.19,No,market,10,Medium,8
Wednesday,Clear,307.57,0.0,No,station,19,Medium,17
Monday,Haze,285.25,0.0,Yes,market,11,Medium,10
Wednesday,Clear,309.81,0.0,No,market,17,Medium,15
Wednesday,Clear,306.17,0.0,Yes,mall,19,Medium,17
Tuesday,Haze,294.58,0.0,No,office,9,Medium,7
Friday,Rain,289.55,1.47,No,mall,19,Medium,17
Sunday,Clouds,294.71,0.17,No,residential,19,Low,19
Friday,Clouds,299.48,0.04,No,residential,9,Low,9
Saturday,Rain,289.19,2.09,No,market,10,Medium,8
Tuesday,Clear,296.62,0.0,No,station,19,Medium,17
Monday,Fog,292.07,0.0,Yes,office,9,Medium,6
Tuesday,Clear,297.6,0.0,Yes,market,11,Low,11
Wednesday,Clear,309.38,0.0,No,office,8,Medium,6
Wednesday,Clear,304.76,0.0,No,mall,21,Medium,20
Tuesday,Drizzle,291.9,0.27,No,office,9,Medium,6
Wednesday,Clear,297.65,0.0,No,mall,12,Low,12
Sunday,Clouds,304.36,0.16,No,market,10,Low,10
Sunday,Fog,283.34,0.0,No,mall,17,Medium,14
Thursday,Clear,302.94,0.0,No,market,10,Low,10
Thursday,Clouds,293.92,0.19,No,office,9,Medium,7
Sunday,Rain,292.32,1.77,No,mall,11,Medium,9
Friday,Clouds,306.12,0.09,No,market,19,Medium,17
Saturday,Drizzle,290.69,0.49,Yes,office,11,Low,9
Thursday,Haze,292.37,0.0,No,mall,20,Medium,19
Friday,Clear,311.67,0.0,Yes,residential,19,Low,19
Monday,Fog,284.85,0.0,No,office,9,Medium,6
Friday,Rain,293.92,1.45,No,residential,20,Medium,18
Monday,Haze,291.17,0.0,No,market,17,Medium,15
Wednesday,Clear,309.35,0.0,No,mall,19,Medium,17
Sunday,Haze,295.57,0.0,No,office,11,Low,10
Friday,Clouds,292.99,0.01,No,residential,9,Low,9
Friday,Fog,292.77,0.0,No,office,8,Medium,5
Wednesday,Clear,301.4,0.0,Yes,residential,20,Low,20
Friday,Drizzle,289.33,0.97,No,market,10,Medium,8
Monday,Haze,288.27,0.0,No,office,9,Medium,7
Tuesday,Drizzle,291.68,0.72,No,mall,11,Low,10
Monday,Rain,286.43,1.02,No,residential,20,Medium,18
Friday,Clouds,306.95,0.05,No,market,20,Medium,18
Sunday,Clouds,292.49,0.14,No,residential,10,Low,10
Wednesday,Clear,302.39,0.0,No,market,11,Low,11
Monday,Clouds,299.47,0.02,No,office,9,Medium,6
Monday,Haze,285.2,0.0,No,office,9,Medium,7
Friday,Drizzle,290.35,0.52,No,office,9,Medium,6
Tuesday,Thunderstorm,299.24,2.33,No,station,18,High,15
Thursday,Clear,303.2,0.0,No,mall,21,Medium,19
Monday,Rain,298.12,0.92,No,office,8,Medium,5
Monday,Clear,296.15,0.0,No,residential,17,Low,17
Sunday,Clear,312.83,0.0,No,mall,18,Medium,15
Tuesday,Clear,305.38,0.0,No,office,9,Medium,7
Monday,Clear,299.74,0.0,No,residential,19,Low,19
Thursday,Clear,293.75,0.0,No,office,8,Medium,6
Monday,Clouds,304.42,0.19,No,mall,21,Medium,20
Friday,Rain,286.74,1.38,No,mall,11,Medium,9
Wednesday,Clear,303.85,0.0,No,mall,20,Medium,19
Tuesday,Clouds,303.11,0.1,No,office,10,Medium,7
Friday,Clear,300.82,0.0,No,mall,19,Medium,18
Tuesday,Clear,312.54,0.0,No,office,8,Medium,6
Tuesday,Clear,294.41,0.0,No,residential,19,Low,19
Wednesday,Clear,294.47,0.0,No,office,8,Medium,6
Sunday,Clouds,296.47,0.12,No,office,10,Low,10
Friday,Haze,291.54,0.0,No,residential,10,Medium,9
Tuesday,Rain,294.65,1.77,No,station,6,Low,4
Friday,Drizzle,296.15,0.34,No,market,17,Medium,14
Wednesday,Clear,312.38,0.0,No,residential,10,Low,10
Tuesday,Clouds,291.88,0.17,No,office,8,Medium,6
Tuesday,Rain,296.86,0.89,No,station,8,Medium,5
Wednesday,Clear,302.01,0.0,No,residential,7,Low,6
Monday,Clear,312.99,0.0,No,market,20,Medium,18
Tuesday,Clouds,291.18,0.04,No,market,17,Medium,15
Friday,Clouds,306.09,0.03,No,mall,19,Medium,17
Thursday,Fog,279.38,0.0,No,market,17,Medium,14
Tuesday,Clear,311.85,0.0,No,residential,20,Low,20
Friday,Clear,309.32,0.0,No,mall,18,Medium,17
Monday,Clear,301.53,0.0,No,market,10,Low,10
Tuesday,Clear,302.78,0.0,No,office,10,Medium,8
Monday,Clear,303.68,0.0,No,market,10,Low,10
Tuesday,Clear,300.92,0.0,No,market,11,Low,11
Monday,Drizzle,292.0,0.8,No,office,9,Medium,6
Friday,Clouds,298.78,0.09,No,residential,17,Low,17
Wednesday,Rain,292.75,1.3,No,office,8,High,5
Thursday,Haze,290.01,0.0,No,station,7,Medium,5
Saturday,Clouds,291.76,0.19,Yes,market,10,Medium,9
Thursday,Clear,293.73,0.0,No,market,20,Medium,18
Sunday,Clear,312.43,0.0,No,office,11,Low,10
Wednesday,Haze,293.3,0.0,No,office,8,Medium,5
Sunday,Drizzle,289.43,1.19,No,station,8,Medium,6
Saturday,Clear,293.03,0.0,No,market,12,Medium,11
Tuesday,Clouds,296.87,0.07,No,residential,9,Low,9
Sunday,Clear,312.89,0.0,No,residential,20,Low,20
Friday,Clear,302.91,0.0,No,residential,9,Low,9
Friday,Clouds,298.94,0.17,No,market,20,Medium,18
Saturday,Haze,291.21,0.0,No,office,11,Low,11
Tuesday,Clear,297.02,0.0,No,office,8,Medium,5
Sunday,Clouds,296.21,0.11,Yes,mall,11,Low,11
Saturday,Clear,307.34,0.0,No,mall,13,Medium,12
Monday,Drizzle,291.56,0.46,No,residential,10,Medium,8
Saturday,Clear,311.77,0.0,No,residential,20,Low,20
Wednesday,Haze,288.8,0.0,No,office,8,Medium,5
Friday,Clouds,296.72,0.19,No,station,19,Medium,17
Wednesday,Clear,305.42,0.0,No,office,8,Medium,6
Monday,Haze,297.0,0.0,No,residential,8,Medium,7
Wednesday,Clear,298.16,0.0,No,mall,21,Medium,20
Monday,Clear,306.45,0.0,No,office,8,Medium,6
Friday,Haze,291.01,0.0,No,office,9,Medium,7
Friday,Clouds,293.34,0.19,No,residential,19,Low,19
Friday,Haze,300.1,0.0,No,residential,20,Medium,19
Thursday,Drizzle,296.87,0.27,No,mall,19,Medium,17
Friday,Rain,285.36,0.86,No,residential,9,Medium,6
Saturday,Clear,305.59,0.0,No,office,11,Low,11
Saturday,Clear,295.33,0.0,No,office,11,Low,11
Wednesday,Haze,291.62,0.0,No,office,10,Medium,8
Monday,Fog,288.33,0.0,No,office,8,Medium,5
Friday,Fog,286.47,0.0,No,station,7,Medium,4
Saturday,Clouds,300.24,0.09,No,station,7,Low,7
Saturday,Clear,311.14,0.0,No,office,10,Low,10
Tuesday,Fog,282.48,0.0,No,residential,17,Medium,14
Friday,Clouds,304.83,0.18,No,market,17,Medium,15
Tuesday,Haze,293.32,0.0,No,mall,11,Low,10
Wednesday,Haze,294.5,0.0,No,market,12,Low,12
Friday,Rain,298.26,1.4,No,station,19,High,16
Tuesday,Haze,285.25,0.0,No,mall,12,Low,11
Sunday,Clouds,305.07,0.19,No,mall,12,Medium,11
Tuesday,Clear,303.7,0.0,Yes,office,10,Medium,8
Wednesday,Clouds,293.87,0.09,No,residential,20,Low,20
Thursday,Rain,290.37,1.09,No,mall,21,Medium,19
Tuesday,Clear,302.59,0.0,No,mall,12,Low,11
Sunday,Fog,284.96,0.0,No,mall,17,Medium,14
Sunday,Clear,296.21,0.0,No,mall,20,Medium,18
Friday,Clear,293.29,0.0,Yes,office,8,Medium,5
Sunday,Haze,294.25,0.0,No,office,12,Low,12
Sunday,Clear,311.18,0.0,No,residential,20,Low,20
Monday,Clear,305.73,0.0,No,mall,17,Medium,15
Sunday,Clouds,292.54,0.0,No,market,12,Medium,11
Thursday,Clear,303.9,0.0,No,market,18,Medium,16
Wednesday,Haze,291.88,0.0,No,market,17,Medium,14
Wednesday,Clouds,291.55,0.14,Yes,office,9,Medium,7
Saturday,Haze,296.02,0.0,No,office,10,Medium,9
Monday,Haze,285.21,0.0,No,market,11,Low,10
Monday,Clear,306.08,0.0,No,office,8,Medium,6
Friday,Clear,302.14,0.0,No,residential,17,Low,17
Sunday,Rain,294.52,1.97,Yes,market,11,Medium,8
Friday,Rain,298.34,1.54,No,office,9,High,6
Friday,Clear,293.03,0.0,No,office,8,Medium,6
Monday,Clouds,294.49,0.09,Yes,office,8,Medium,6
Tuesday,Clear,299.58,0.0,No,market,18,Medium,15
Wednesday,Rain,287.89,0.51,No,office,9,Medium,6
Monday,Haze,300.43,0.0,No,office,8,Medium,5
Monday,Clear,309.73,0.0,No,market,11,Low,11
Monday,Clear,308.86,0.0,No,office,8,Medium,6
Wednesday,Thunderstorm,298.01,2.27,No,market,11,Medium,9
Friday,Clear,312.9,0.0,No,station,19,Medium,17
Friday,Clear,295.13,0.0,No,residential,18,Low,18
Friday,Clouds,297.4,0.04,No,market,12,Low,12
Wednesday,Clear,304.75,0.0,No,office,9,Medium,7
Tuesday,Rain,293.63,1.7,No,station,18,High,15
Saturday,Rain,287.23,1.54,No,mall,18,High,15
Sunday,Haze,290.83,0.0,No,mall,18,Medium,16
Wednesday,Clouds,295.46,0.1,No,market,18,Medium,16
Monday,Thunderstorm,300.56,1.45,No,office,9,High,6
Wednesday,Rain,290.53,1.98,No,station,17,High,14
Monday,Drizzle,294.56,1.11,Yes,residential,18,Medium,16
Saturday,Clear,308.53,0.0,No,residential,9,Low,8
Monday,Clear,301.65,0.0,No,station,7,Medium,5
Friday,Clear,312.77,0.0,No,residential,10,Low,9
Sunday,Clear,309.74,0.0,No,market,19,Medium,16
Thursday,Clear,295.1,0.0,No,market,18,Medium,16
Friday,Clear,306.54,0.0,No,station,7,Medium,5
Saturday,Fog,292.49,0.0,No,office,11,Low,9
Thursday,Fog,292.57,0.0,No,office,9,Medium,6
Monday,Clear,293.08,0.0,No,station,18,Medium,16
Thursday,Haze,289.76,0.0,No,station,19,Medium,16
Friday,Rain,290.27,0.69,No,residential,17,Medium,14
Wednesday,Fog,280.9,0.0,No,station,7,Medium,4
Tuesday,Rain,301.89,0.69,No,office,9,Medium,6
Tuesday,Rain,293.77,2.12,No,residential,10,Medium,8
Wednesday,Clouds,304.54,0.09,No,residential,19,Low,18
Wednesday,Clouds,298.95,0.2,No,residential,8,Low,8
Friday,Clear,301.86,0.0,No,mall,17,Medium,15
Wednesday,Clear,293.51,0.0,No,mall,17,Medium,15
Thursday,Clear,296.81,0.0,No,office,10,Medium,8
Tuesday,Clouds,299.99,0.07,No,office,8,Medium,6
Friday,Clear,308.3,0.0,No,office,8,Medium,5
Tuesday,Clear,306.42,0.0,No,office,8,Medium,6
Tuesday,Haze,285.86,0.0,No,mall,18,Medium,17
Tuesday,Clear,308.84,0.0,No,mall,12,Low,12
Thursday,Clouds,301.81,0.2,Yes,market,12,Medium,11
Monday,Clear,296.89,0.0,No,mall,21,Medium,20
Sunday,Clear,302.4,0.0,No,market,18,Medium,16
Monday,Drizzle,288.21,0.88,No,residential,8,Medium,6
Saturday,Fog,280.45,0.0,No,mall,21,Medium,18
Sunday,Haze,295.12,0.0,No,residential,10,Medium,9
Tuesday,Clear,293.09,0.0,No,residential,18,Low,18
Wednesday,Clear,295.52,0.0,No,station,18,Medium,16
Wednesday,Fog,287.48,0.0,No,mall,21,Medium,19
Tuesday,Rain,288.26,1.73,No,office,9,High,6
Monday,Clouds,296.41,0.13,No,mall,17,Medium,16
Sunday,Clear,306.71,0.0,No,mall,11,Low,10
Wednesday,Clouds,297.78,0.12,No,mall,11,Low,10
Monday,Haze,287.76,0.0,Yes,market,12,Medium,11
Tuesday,Clouds,298.09,0.03,No,residential,20,Low,20
Friday,Haze,297.08,0.0,No,residential,10,Medium,9
Friday,Fog,287.53,0.0,No,office,9,Medium,6
Tuesday,Clear,301.36,0.0,No,mall,13,Low,13
Saturday,Clouds,294.76,0.09,Yes,mall,21,Medium,19
Thursday,Fog,291.47,0.0,No,mall,21,Medium,19
Wednesday,Rain,297.7,0.54,No,office,10,Medium,7
Wednesday,Rain,289.4,1.7,No,residential,7,Medium,5
Monday,Clouds,304.36,0.08,No,station,17,Medium,15
Friday,Clouds,301.81,0.05,No,station,8,Medium,6
Tuesday,Clouds,301.81,0.09,No,mall,21,Medium,20
Monday,Clear,299.36,0.0,No,office,10,Medium,8
Sunday,Clouds,300.31,0.19,No,office,12,Low,12
Monday,Clouds,306.81,0.18,No,residential,9,Low,9
Friday,Clear,293.54,0.0,No,market,12,Low,11
Monday,Clear,300.74,0.0,No,mall,20,Medium,19
Friday,Clouds,306.99,0.19,No,office,9,Medium,7
Thursday,Clouds,305.26,0.18,No,office,10,Medium,8
Monday,Thunderstorm,298.43,1.54,No,residential,10,Medium,8
Monday,Clouds,298.88,0.0,No,residential,17,Low,16
Monday,Clouds,305.27,0.07,Yes,mall,20,Medium,17
Friday,Clouds,294.85,0.06,No,market,10,Low,10
Friday,Haze,295.37,0.0,No,residential,20,Medium,19
Friday,Clear,311.53,0.0,No,mall,12,Low,12
Monday,Clouds,302.53,0.01,No,mall,12,Low,12
Monday,Clouds,292.78,0.15,No,mall,18,Medium,17
Monday,Haze,299.17,0.0,No,office,8,Medium,5
Tuesday,Haze,298.89,0.0,No,mall,19,Medium,17
Friday,Clouds,296.52,0.14,No,office,8,Medium,6
Friday,Clear,298.68,0.0,No,office,9,Medium,7
Wednesday,Clear,310.96,0.0,No,office,9,Medium,6
Sunday,Rain,298.42,1.85,No,station,7,Medium,4
Wednesday,Fog,279.07,0.0,No,office,9,Medium,6
Thursday,Clear,306.15,0.0,No,office,9,Medium,7
Thursday,Clear,304.76,0.0,Yes,mall,12,Medium,11
Tuesday,Clouds,292.91,0.15,No,market,12,Low,11
Tuesday,Clear,298.17,0.0,No,mall,20,Medium,19
Monday,Clear,295.33,0.0,No,mall,12,Low,12
Sunday,Drizzle,289.75,0.88,No,mall,12,Medium,10
Thursday,Clear,309.54,0.0,No,market,10,Low,10
Monday,Haze,296.09,0.0,No,residential,10,Medium,9
Saturday,Clear,310.17,0.0,No,office,10,Low,10
Thursday,Drizzle,286.13,1.05,No,station,19,High,16
Saturday,Rain,294.32,0.67,No,mall,21,Medium,18
Saturday,Drizzle,289.83,0.93,No,market,17,Medium,14
Wednesday,Clear,302.11,0.0,No,office,10,Medium,8
Friday,Clear,301.6,0.0,No,station,7,Medium,4
Wednesday,Clouds,292.45,0.17,No,office,9,Medium,6
Saturday,Rain,293.81,1.55,No,market,18,High,15
Sunday,Clear,298.16,0.0,No,mall,18,Medium,16
Sunday,Clear,305.21,0.0,No,office,10,Low,10
Wednesday,Haze,300.4,0.0,No,station,6,Low,4
Wednesday,Clouds,294.27,0.18,No,station,19,Medium,17
Monday,Drizzle,290.3,0.49,No,market,20,Medium,17
Friday,Clear,310.74,0.0,No,residential,19,Low,18
Thursday,Haze,288.84,0.0,No,mall,13,Low,12
Monday,Clouds,304.73,0.19,No,mall,18,Medium,17
Monday,Clear,294.06,0.0,No,office,9,Medium,7
Saturday,Fog,285.89,0.0,No,station,19,Medium,17
Tuesday,Clouds,304.65,0.16,No,mall,19,Medium,18
Tuesday,Clouds,293.16,0.18,No,residential,20,Low,20
Sunday,Haze,289.78,0.0,No,mall,19,Medium,17
Thursday,Clouds,302.05,0.06,No,mall,19,Medium,18
Tuesday,Clouds,295.76,0.02,No,market,19,Medium,16
Wednesday,Rain,295.43,1.16,No,office,9,High,6
Tuesday,Thunderstorm,301.29,2.98,No,mall,13,Medium,11
Wednesday,Haze,298.44,0.0,No,office,8,Medium,5
Monday,Clear,307.92,0.0,No,market,20,Medium,18
Saturday,Clouds,294.98,0.16,No,station,18,Low,17
Thursday,Haze,297.44,0.0,No,office,10,Medium,8
Thursday,Fog,281.09,0.0,No,market,10,Medium,7
Wednesday,Clouds,291.36,0.15,No,office,9,Medium,7
Saturday,Clouds,304.79,0.15,No,office,12,Low,12
Thursday,Clear,312.08,0.0,No,mall,20,Medium,18
Thursday,Clear,299.61,0.0,No,market,10,Low,10
Friday,Drizzle,297.64,0.42,No,mall,11,Low,10
Tuesday,Rain,285.38,1.71,No,mall,21,Medium,19
Friday,Clouds,294.94,0.08,No,station,8,Medium,6
Sunday,Haze,289.69,0.0,Yes,market,17,High,14
Sunday,Clouds,299.92,0.13,No,residential,8,Low,7
Saturday,Rain,301.77,1.08,No,mall,20,High,17
Sunday,Rain,289.5,1.64,No,office,12,Medium,10
Tuesday,Rain,301.4,0.78,No,market,18,Medium,15
Wednesday,Clear,306.18,0.0,No,mall,21,Medium,20
Tuesday,Clouds,300.08,0.17,No,residential,18,Low,17
Tuesday,Haze,294.51,0.0,No,mall,11,Low,11
Monday,Rain,289.16,1.37,No,market,11,Medium,9
Friday,Rain,291.39,1.43,No,mall,12,Medium,9
Thursday,Fog,280.06,0.0,No,office,10,Medium,7
Sunday,Clear,298.6,0.0,No,mall,17,Medium,15
Wednesday,Clouds,298.7,0.09,No,office,9,Medium,6
Wednesday,Clouds,305.58,0.13,No,mall,19,Medium,17
Wednesday,Drizzle,286.38,0.54,No,mall,19,Medium,17
Friday,Clouds,295.11,0.07,No,mall,12,Low,12
Saturday,Drizzle,296.35,0.33,No,residential,18,Medium,16
Monday,Rain,298.15,1.6,No,station,17,High,14
Wednesday,Haze,296.36,0.0,No,office,8,Medium,6
Thursday,Clear,309.08,0.0,Yes,market,12,Medium,11
Wednesday,Clouds,290.44,0.15,No,mall,18,Medium,17
Sunday,Clouds,304.59,0.03,No,office,12,Low,12
Friday,Clear,307.04,0.0,No,office,9,Medium,6
Tuesday,Clouds,291.53,0.16,No,residential,7,Low,7
Wednesday,Clouds,299.72,0.12,No,market,11,Low,11
Tuesday,Rain,286.51,1.86,No,market,18,Medium,15
Wednesday,Clouds,300.1,0.19,No,mall,12,Low,12
Friday,Drizzle,289.93,0.7,No,market,19,Medium,16
Tuesday,Haze,299.28,0.0,No,residential,19,Medium,17
Monday,Rain,286.97,0.7,Yes,mall,18,High,15
Thursday,Clear,294.67,0.0,No,station,19,Medium,17
Tuesday,Clear,305.36,0.0,No,market,18,Medium,16
Thursday,Clouds,301.52,0.06,No,residential,8,Low,8
Monday,Clouds,291.19,0.04,No,residential,7,Low,7
Monday,Fog,291.33,0.0,No,station,7,Medium,4
Monday,Rain,286.45,1.96,No,office,8,High,5
Thursday,Clear,299.42,0.0,No,station,17,Medium,15
Tuesday,Clear,310.75,0.0,No,office,8,Medium,6
Thursday,Clear,310.89,0.0,No,mall,21,Medium,19
Wednesday,Clouds,302.77,0.03,No,market,17,Medium,14
Monday,Fog,281.93,0.0,No,office,9,Medium,6
Friday,Fog,280.3,0.0,No,station,18,Medium,15
Tuesday,Drizzle,300.57,1.15,No,station,17,High,14
Saturday,Clouds,297.85,0.0,No,office,11,Low,11
Wednesday,Clouds,300.28,0.17,No,residential,19,Low,19
Tuesday,Clouds,302.62,0.06,No,mall,11,Low,11
Thursday,Clear,293.97,0.0,No,market,10,Low,10
Tuesday,Rain,291.91,2.01,No,office,8,High,5
Tuesday,Haze,295.42,0.0,No,residential,10,Medium,9
Thursday,Clouds,292.42,0.17,No,office,10,Medium,8
Friday,Fog,283.98,0.0,No,residential,18,Medium,16
Tuesday,Drizzle,297.73,1.16,No,market,18,Medium,15
Friday,Clouds,305.45,0.11,No,office,9,Medium,6
Saturday,Clear,297.81,0.0,Yes,market,11,Low,11
Friday,Clouds,295.29,0.08,No,mall,21,Medium,19
